strain,type,thc,cbd,flavour 1,flavour 2,flavour 3,flavour 4,effect 1,effect 2,effect 3,effect 4,grow_type,growing_time
Jack The Ripper Autoflowering,sativa,0.220,0.001, Citrus, Fresh, Diesel, Fruity, Cerebral, Energetic, Uplifting, Trippy, Photoperiod, 9 weeks
Jack's Cleaner 2,sativa,0.220,0.001, Sweet,,,, Relaxed, Sociable, Happy,,,
Jacky White,sativa,0.220,0.001, Herbal, Lemon, Citrus, Spicy, Creative, Cerebral, Trippy, Uplifting, Photoperiod, 8-10 weeks
Jamaican Blueberry BX,indica,0.120,0.110, Sweet, Lemon, Herbal, Kushy, Clear-headed, Cerebral, Balanced, Body-buzz, Photoperiod, 8-9 weeks
Jamaican Dream,hybrid,0.220,0.110, Fresh, Nutty, Herbal, Lemon, Narcotic, Calming, Relaxed, Cerebral, Photoperiod, 7 weeks
Jamaican Lambsbread,hybrid,0.220,0.001, Sweet, Grapefruit, Candy,, Motivated, Energetic, Euphoric, Creative, Photoperiod, 10-11 weeks
Jamaican OG,sativa,0.100,0.220, Spicy, Sweet,,, Cerebral, Energetic, Calming, Relaxed, Photoperiod, 9 weeks
Jamaican Pearl,indica,0.190,0.003, Pungent, Citrus, Mint, Sleepy, Relaxed, Couch-lock, Narcotic, Body-buzz, Photoperiod, 9 weeks
Jedi Kush,indica,0.210,0.008, Skunk, Spicy, Earthy, Sweet, Body-buzz, Tingly, Relaxed, Strong, Photoperiod, 8 weeks
Jenny Kush,sativa,0.130,0.005, Fresh, Spicy, Fruity, Sweet, Energetic, Euphoric, Alert, Happy, Autoflowering, 9-10 weeks
Jesus OG,indica,0.170,0.010, Herbal, Earthy, Spicy,, Relaxed, Body-buzz, Calming,, Photoperiod, 7-8 weeks
Jet 47,indica,0.120,0.220, Cheese, Fruity,,, Calming, Relaxed,,,,
Jillybean,sativa,0.220,0.001, Herbal, Spicy, Pine, Woody, Relaxed, Happy, Calming,, Photoperiod, 10 weeks
Jock Horror,sativa,0.220,0.001, Earthy, Citrus, Sweet, Cerebral, Uplifting, Focused, Sociable, Motivated, Autoflowering, 11-13 weeks
John Doe,indica,0.220,0.030, Earthy, Spicy, Pine, Hashish, Meditative, Relaxed, Dreamy, Body-buzz, Photoperiod, 7-9 weeks
Jorge's Diamonds 1,indica,0.120,0.001, Candy, Blueberry, Grape, Cherry, Relaxed, Dreamy, Body-buzz, Meditative, Photoperiod, 8 weeks
Juanita,indica,0.180,0.001, Skunk, Mango, Lemon, Fuel, Smooth, Relaxed, Munchies, Happy, Photoperiod, 7-8 weeks
Juanita La Lagrimosa,indica,0.060,0.070, Berry, Flowery, Sweet, Citrus, Sociable, Creative, Motivated, Calming, Photoperiod, 6-8 weeks
Julius Caesar,sativa,0.130,0.002, Skunk, Citrus, Lemon, Sweet, Energetic, Motivated, Cerebral, Happy, Autoflowering, 9-10 weeks
Jägg Kush,indica,0.130,0.001, Pine, Flowery, Sweet,, Sleepy, Calming, Relaxed,, Autoflowering, 8-9 weeks
K-Train,indica,0.190,0.001, Citrus, Pine,,, Relaxed, Cerebral, Calming,, Photoperiod, 8-9 weeks
Kabrales,hybrid,0.200,0.001, Earthy, Sweet, Spicy,, Relaxed, Motivated, Happy, Talkative, Photoperiod, 9-10 weeks
Kaia Kush,hybrid,0.220,0.001, Skunk, Pungent,,, Relaxed, Strong,,, Autoflowering, 9 weeks
Kalashnikov,indica,0.120,0.001, Fruity, Skunk, Sweet,, Strong, Calming, Relaxed, Body-buzz, Photoperiod, 8-9 weeks
Kalashnikov Autoflowering,sativa,0.120,0.001, Skunk, Fresh, Mint,, Talkative, Long-lasting, Energetic, Sociable, Autoflowering, 9-10 weeks
Kalashnikova,indica,0.180,0.030, Sweet, Fruity, Tropical,, Body-buzz, Relaxed, Cerebral, Creative, Photoperiod, 8-9 weeks
Kalashnikova Autoflowering,indica,0.210,0.001, Fresh, Woody, Pine,, Relaxed, Talkative, Calming, Cerebral, Autoflowering, 8-9 weeks
Kali 47,sativa,0.220,0.001, Sour, Pungent, Citrus, Spicy, Cerebral, Energetic, Motivated, Euphoric, Photoperiod, 10-12 weeks
Kali China,indica,0.120,0.001, Earthy, Pungent, Pine,, Body-buzz, Relaxed, Happy, Calming, Photoperiod, 7-8 weeks
Kali Dog,hybrid,0.230,0.001, Pineapple, Raspberry, Passionfruit, Mango, Happy, Balanced, Cerebral, Psychedelic, Photoperiod, 8-9 weeks
Kali Haze,indica,0.150,0.030, Sweet, Skunk, Fresh, Pungent, Relaxed, Happy, Euphoric, Uplifting, 400-450g/m²,
Kali Mist,hybrid,0.120,0.001, Sweet, Fruity, Citrus,, Uplifting, Relaxed, Sociable, Happy, Photoperiod, 9 weeks
Kalijah,hybrid,0.140,0.001, Spicy, Skunk, Sweet,, Uplifting, Sociable, Happy,, Autoflowering, 8-9 weeks
Kalini Asia,indica,0.120,0.001, California, Super Skunk, Fruity, Skunk,, Happy, Relaxed,, Photoperiod, 6-8 weeks
Kama Kush CBD,sativa,0.220,0.001, Berry, Pine, Sweet, Earthy, Euphoric, Uplifting, Happy,, Photoperiod, 9-11 weeks
Kandy Kush,sativa,0.170,0.001, Woody, Sweet, Fruity,, Uplifting, Energetic, Talkative, Motivated, Photoperiod, 12-13 weeks
Karel's Haze,indica,0.070,0.220, Fresh, Herbal, Earthy,, Lazy, Calming,,, Autoflowering, 9-10 weeks
Karibbean Mango,indica,0.120,0.001, Earthy, Spicy, Pine, Kushy, Relaxed, Happy, Euphoric,, Photoperiod, 8-10 weeks
Karma's OG,indica,0.120,0.001, Earthy, Spicy, Citrus,, Uplifting, Happy, Relaxed,, Autoflowering, 9 weeks
Kaya 47,indica,0.120,0.001, Sweet, Hashish, Spicy,, Calming, Strong, Relaxed, Sleepy, Photoperiod, 7-9 weeks
Kees' Old School Haze,sativa,0.120,0.001, Mint, Spicy, Citrus, Sweet, Cerebral, Uplifting, Energetic, Relaxed, Photoperiod, 7-8 weeks
Khufu,indica,0.210,0.010, Sour, Lavender, Tropical, Nutty, Relaxed, Calming, Strong, Couch-lock, Photoperiod, 8-9 weeks
Kickass Autoflowering,indica,0.120,0.200, Woody, Herbal, Spicy,, Relaxed, Sociable, Calming,, Photoperiod, 8-9 weeks
Killer Grape,hybrid,0.150,0.005, Candy, Mango, Sour,, Energetic, Happy, Creative, Uplifting, Photoperiod, 7-8 weeks
Killer Kush Autoflowering,indica,0.220,0.030, Cheese, Pineapple, Skunk,, Calming, Sleepy, Couch-lock, Relaxed, Photoperiod, 8-9 weeks
Killer Purps,indica,0.240,0.001, Fuel, Pepper, Spicy, Earthy, Body-buzz, Balanced, Strong, Long-lasting, Photoperiod, 9-10 weeks
Killer Queen,indica,0.120,0.001, Sweet, Pine, Earthy, Pungent, Psychedelic, Relaxed, Meditative, Sociable, Photoperiod, 6-8 weeks
Killer White,indica,0.120,0.001, Earthy, Sweet, Flowery,, Strong, Happy, Relaxed,, Photoperiod, 8 weeks
KillerBee Honey,sativa,0.220,0.001, Fruity, Sweet, Lemon,, Uplifting, Cerebral, Motivated, Strong, Photoperiod, 10-11 weeks
King Kong,indica,0.180,0.001, Spicy, Sweet,,, Couch-lock, Calming, Relaxed,, Photoperiod, 8-9 weeks
King's Kush,indica,0.120,0.001, Sweet, Caramel, Fresh,, Relaxed, Body-buzz, Calming,, Photoperiod, 8 weeks
King's Kush Autoflowering,indica,0.270,0.001, Pine, Diesel, Chocolate,, Strong, Uplifting,,, Photoperiod, 8-9 weeks
King's Kush Autoflowering CBD,indica,0.140,0.030, Skunk, Sweet,,, Relaxed, Calming,,, Autoflowering, 8-9 weeks
Kiss Dragon,hybrid,0.200,0.001, Spicy, Earthy, Citrus,, Couch-lock, Sleepy, Relaxed, Strong, Autoflowering, 9 weeks
Kiwi Kush,indica,0.190,0.001, Sweet, Spicy, Pungent,, Narcotic, Relaxed, Happy, Calming, Photoperiod, 8-9 weeks
Kiwiskunk,hybrid,0.160,0.003, Strawberry, Fruity, Sweet, Melon, Body-buzz, Cerebral, Balanced, Relaxed, Photoperiod, 9 weeks
Kong 47,indica,0.120,0.001, Sweet, Earthy, Citrus,, Body-buzz, Relaxed, Happy, Calming, Photoperiod, 9-10 weeks
Kosher Choco Kush,hybrid,0.120,0.001, Herbal, Earthy, Pine, Citrus, Sociable, Couch-lock, Giggly, Talkative, Autoflowering, 9 weeks
Kosher Kush,hybrid,0.210,0.010, Sweet, Fresh, Flowery,, Sedative, Euphoric, Long-lasting, Happy, Photoperiod, 9-10 weeks
Kosher Tangie Kush,hybrid,0.120,0.001, Orange, Citrus, Fruity,, Sociable, Uplifting, Euphoric,, Photoperiod, 9 weeks
Kreamy Karamel,hybrid,0.120,0.001, Sweet, Spicy, Tropical,, Cerebral, Relaxed, Uplifting, Happy, Photoperiod, 7-9 weeks
Kritic Autoflowering,indica,0.140,0.004, Berry, Diesel, Citrus, Spicy, Happy, Relaxed, Euphoric, Creative, Photoperiod, 7-8 weeks
Kritikal Bilbo Autoflowering,sativa,0.120,0.001, Musky, Pine, Herbal, Spicy, Cerebral, Energetic, Uplifting, Trippy, Photoperiod, 10-11 weeks
Kritikal-K,indica,0.180,0.001, Sweet, Blueberry, Musky,, Narcotic, Relaxed, Cerebral, Happy, Photoperiod, 7-8 weeks
Kryptonite,indica,0.160,0.030, Earthy, Cheese, Pungent, Sweet, Relaxed, Calming, Sociable, Creative, Autoflowering, 9-10 weeks
Kuchi,indica,0.120,0.001, Mango, Vanilla, Peach,, Sociable, Relaxed, Happy, Body-buzz, Autoflowering, 9 weeks
Kush Bomb,indica,0.080,0.100, Diesel, Fresh, Spicy,, Balanced, Relaxed, Body-buzz, Calming, Photoperiod, 10 weeks
Kush Doctor,indica,0.220,0.001, Sweet, Citrus, Sour, Lemon, Balanced, Relaxed, Uplifting, Happy, Photoperiod, 8-9 weeks
Kush Van Stitch Autoflowering,indica,0.120,0.001, Fresh, Fruity, Candy, Sweet, Euphoric, Uplifting, Happy, Relaxed, Photoperiod, 9 weeks
Kush-N-Cheese,sativa,0.220,0.001, Ammonia, Musky, Citrus,, Euphoric, Cerebral, Trippy, Uplifting, Photoperiod, 12-13 weeks
Kush-N-Cheese Autoflowering,indica,0.120,0.001, Hashish, Sweet, Spicy, Herbal, Calming, Strong, Relaxed, Tingly, Photoperiod, 7-9 weeks
Kushadelic,hybrid,0.070,0.100, Sweet, Woody, Musky, Cypress, Relaxed, Smooth, Calming,, Photoperiod, 8-9 weeks
Kushage,hybrid,0.220,0.001, Candy, Fuel, Honey,, Euphoric, Body-buzz, Relaxed, Strong, Photoperiod, 9-10 weeks
Kushberry,indica,0.120,0.001, Citrus, Fruity, Herbal,, Euphoric, Munchies, Relaxed, Happy, Autoflowering, 7-9 weeks
LA Affie,hybrid,0.220,0.220, Pine, Citrus,,, Calming, Relaxed,,, Photoperiod, 9-10 weeks
LA Amnesia,sativa,0.120,0.001, Sweet, Pungent, Cheese, Kushy, Strong, Relaxed, Uplifting, Body-buzz, Photoperiod, 6-8 weeks
LA Cannalope,hybrid,0.120,0.001, Earthy, Lemon, Fresh,, Body-buzz, Relaxed, Narcotic, Calming, Autoflowering, 8-9 weeks
LA Cheese,sativa,0.220,0.001, Sweet, Pine, Citrus, Fruity, Cerebral, Energetic, Strong, Uplifting, Photoperiod, 11 weeks
LA Chocolat,sativa,0.200,0.001, Skunk, Sweet,,, Sociable, Relaxed, Uplifting,, Photoperiod, 8-9 weeks
LA Confidential,hybrid,0.140,0.001, Woody, Fruity,,, Happy, Cerebral, Uplifting,, Photoperiod, 9 weeks
LA Ultra,indica,0.120,0.220, Fresh, Lemon, Fruity, Coffee, Couch-lock, Body-buzz, Relaxed,, Photoperiod, 8-10 weeks
LA Woman,indica,0.120,0.001, Citrus, Pine, Earthy, Lime, Cerebral, Relaxed, Munchies, Body-buzz, Photoperiod, 8-9 weeks
LOL,hybrid,0.170,0.110, Sweet, Pungent, Cheese, Spicy, Relaxed, Happy, Calming,, Photoperiod, 6-8 weeks
LSD,sativa,0.120,0.001, Pine, Lemon, Berry, Spicy, Sociable, Cerebral, Happy, Uplifting, Photoperiod, 9-12 weeks
LSD Autoflowering,indica,0.120,0.001, Earthy, Sweet, Lemon,, Relaxed, Sociable, Calming,, Photoperiod, 8 weeks
LSD Poison,indica,0.120,0.110, Woody, Spicy, Citrus,, Energetic, Talkative, Alert, Cerebral, Autoflowering, 10-12 weeks
LSD-25,sativa,0.190,0.110, Sweet, Woody, Musky,, Cerebral, Energetic, Strong, Uplifting, Photoperiod, 9-10 weeks
La Bella Afrodita,indica,0.280,0.001, Sweet, Strawberry, Berry,, Happy, Strong, Relaxed, Sociable, Photoperiod, 9 weeks
La Blanca,sativa,0.200,0.010, Flowery, Fresh, Lavender,, Cerebral, Uplifting, Energetic, Strong, Photoperiod, 12-14 weeks
La Blanca Gold Autoflowering,hybrid,0.160,0.005, Sweet, Spicy, Flowery,, Cerebral, Balanced, Euphoric, Body-buzz, Photoperiod, 8-9 weeks
La Musa,hybrid,0.170,0.110, Skunk, Sweet,,, Energetic, Calming, Relaxed, Cerebral, October,
La Niña,hybrid,0.120,0.001, Sweet, Citrus, Skunk,, Creative, Energetic, Uplifting,, Photoperiod, 8 weeks
La Rica Classic THC,indica,0.120,0.001, Skunk, Pungent, Fruity,, Happy, Euphoric, Sweet, Relaxed, Autoflowering, 8-9 weeks
Ladyburn 1974,hybrid,0.220,0.001, Cheese, Skunk, Pungent,, Relaxed, Sociable, Munchies,, Photoperiod, 9 weeks
Landysh,sativa,0.210,0.030, Pine, Citrus, Fresh,, Uplifting, Cerebral, Energetic, Strong, Photoperiod, 11 weeks
Langui Kush,indica,0.120,0.001, Skunk, Fruity, Sweet, Strawberry, Relaxed, Cerebral, Strong, Body-buzz, Photoperiod, 8-10 weeks
Larry Bird Kush,indica,0.120,0.001, Pungent, Orange, Skunk,, Balanced, Relaxed, Body-buzz, Calming, Photoperiod, 7-8 weeks
Larry OG Kush,sativa,0.060,0.070, Mint, Sweet, Lemon,, Relaxed, Calming,,, Photoperiod, 9-10 weeks
Las Vegas Purple Kush BX,hybrid,0.180,0.030, Pungent, Sweet, Skunk, Spicy, Uplifting, Cerebral, Relaxed,, Photoperiod, 7-8 weeks
Laughing Buddha,hybrid,0.150,0.010, Grape, Berry, Sweet,, Cerebral, Relaxed,,, Autoflowering, 8-10 weeks
Lavender,hybrid,0.220,0.001, Diesel, Kushy, Lemon,, Body-buzz, Relaxed, Alert, Creative, Photoperiod, 9 weeks
Legendary Punch,indica,0.180,0.010, Pungent, Sweet, Skunk,, Talkative, Happy, Sociable, Relaxed, Autoflowering, 8 weeks
Legends Gold,indica,0.200,0.001, Earthy, Pungent, Sweet,, Uplifting, Relaxed, Strong, Body-buzz, Photoperiod, 6-8 weeks
Lemon AK Autoflowering,indica,0.120,0.001, Pungent, Sandalwood, Citrus, Woody, Relaxed, Body-buzz, Calming,, Photoperiod, 7-9 weeks
Lemon Auto CBD,hybrid,0.210,0.001, Lavender, Mint, Grapefruit,, Body-buzz, Relaxed, Munchies, Balanced, Photoperiod, 9 weeks
Lemon Candy,indica,0.190,0.006, Sweet, Fruity,,, Calming, Talkative, Relaxed, Happy, Photoperiod, 7-8 weeks
Lemon Garlic OG,sativa,0.210,0.030, Spicy, Tangerine, Fresh,, Uplifting, Cerebral, Euphoric,, Autoflowering, 12-13 weeks
Lemon Haze,sativa,0.200,0.001, Fresh, Sweet, Earthy,, Munchies, Cerebral, Relaxed, Creative, Photoperiod, 10-12 weeks
Lemon Haze Autoflowering,hybrid,0.120,0.001, Sour, Tangerine, Candy,, Relaxed, Uplifting, Euphoric,, Photoperiod, 9-10 weeks
Lemon Head,indica,0.180,0.030, Herbal, Earthy, Skunk,, Relaxed, Strong, Calming,, Photoperiod, 7-8 weeks
Lemon Ice,indica,0.240,0.030, Fruity, Kushy, Earthy, Sweet, Body-buzz, Strong, Narcotic, Relaxed, Photoperiod, 8-9 weeks
Lemon Juice Express Autoflowering,indica,0.200,0.009, Cheese, Pungent, Grape, Spicy, Balanced, Relaxed, Body-buzz, Cerebral, Photoperiod, 8 weeks
Lemon Kush,sativa,0.180,0.030, Lime, Fresh, Citrus,, Relaxed, Uplifting, Euphoric, Narcotic, Autoflowering, 9-10 weeks
Lemon Kush Headband,sativa,0.010,0.150, Fruity, Earthy, Attentive, Smooth, Focused,,,, Autoflowering, 10 weeks
Lemon OG Candy,indica,0.220,0.220, Caramel, Sweet, Kushy, Candy, Couch-lock, Relaxed, Body-buzz, Strong, Autoflowering, 9-10 weeks
Lemon OG Haze,indica,0.070,0.001, Earthy, Woody, Herbal,, Body-buzz, Relaxed, Munchies, Calming, Autoflowering, 9-10 weeks
Lemon OG Kush,hybrid,0.180,0.001, Fuel, Pungent, Diesel,, Smooth, Creative, Energetic,, Autoflowering, 9 weeks
Lemon Power Haze,indica,0.160,0.001, Pungent, Tropical,,, Happy, Euphoric,,, Photoperiod, 9 weeks
Lemon Shining Silver Haze,sativa,0.200,0.001, Earthy, Citrus, Sweet,, Strong, Relaxed, Cerebral,, Photoperiod,
Lemon Skunk,sativa,0.120,0.001, Diesel, Lime, Sour, Pungent, Cerebral, Euphoric, Long-lasting, Energetic, Photoperiod, 10-12 weeks
Lemon Stilton,indica,0.120,0.220, Earthy, Spicy, Pine,, Relaxed, Body-buzz, Narcotic,, Photoperiod, 8-9 weeks
Lemon Thai Kush,indica,0.060,0.070, Sweet, Garlic, Sour,, Relaxed, Balanced, Calming,, Photoperiod, 8 weeks
Lemon Walker,sativa,0.190,0.001, Diesel, Diesel, Herbal, Sour, Relaxed, Cerebral, Focused,, Photoperiod, 10 weeks
Lemon Zkittle,indica,0.080,0.110, Sweet, Citrus, Sour, Spicy, Relaxed, Calming,,, Photoperiod, 7 weeks
Lemonesia,indica,0.120,0.001, Cheese, Skunk, Pungent, Spicy, Talkative, Relaxed, Happy, Euphoric, Photoperiod, 8-9 weeks
Lennon,hybrid,0.180,0.001, Earthy, Sweet, Citrus,, Happy, Creative, Uplifting, Energetic, Photoperiod, 9 weeks
Liberty Haze,hybrid,0.150,0.001, Skunk, Fruity, Citrus, Spicy, Uplifting, Relaxed, Energetic,, Photoperiod, 8-9 weeks
Little Dipper,indica,0.180,0.001, Tropical, Sweet, Fruity,, Relaxed, Happy, Calming,, Photoperiod, 8-9 weeks
Little Dwarf Autoflowering,hybrid,0.120,0.001, Skunk,,,, Relaxed, Strong, Cerebral,, Photoperiod, 7 weeks
Lost Coast Hash Plant,indica,0.120,0.001, Pepper, Grapefruit, Citrus, Spicy, Attentive, Happy, Alert, Giggly, Autoflowering, 10-11 weeks
Lost Coast OG,sativa,0.220,0.030, Sweet, Pepper, Citrus, Spicy, Uplifting, Euphoric, Cerebral, Strong, Photoperiod, 12-13 weeks
Lost Coast Skunk Autoflowering,sativa,0.270,0.030, Lemon, Fruity, Sweet, Fuel, Long-lasting, Creative, Strong, Energetic, Photoperiod, 9-10 weeks
Louis XIII OG,sativa,0.000,0.001, Earthy, Musky,,, Euphoric, Happy, Relaxed, Giggly, Photoperiod, 13 weeks
Lowryder,sativa,0.210,0.001, Sweet, Chocolate,,, Cerebral, Tingly, Strong, Euphoric, Photoperiod, 9-10 weeks
Lowryder 2,sativa,0.120,0.001, Sweet, Fresh, Pine, Lemon, Happy, Relaxed, Giggly, Uplifting, Photoperiod, 8-9 weeks
Lucid Bolt,sativa,0.180,0.001, Spicy, Sweet, Fruity,, Tingly, Strong, Euphoric, Uplifting, Photoperiod, 12-14 weeks
Lucky Queen,sativa,0.120,0.001, Musky, Herbal,,, Relaxed, Strong,,, Photoperiod, 9 weeks
MK-Ultra,indica,0.190,0.001, Kushy, Pine, Earthy,, Couch-lock, Body-buzz, Relaxed, Smooth, Autoflowering, 10 weeks
Magma,sativa,0.120,0.001, Citrus, Fruity, Tropical, Spicy, Energetic, Cerebral, Uplifting,, Photoperiod, 9 weeks
Magnum,sativa,0.220,0.001, Sweet, Fruity, Pine,, Uplifting, Energetic, Focused, Creative, Photoperiod, 8-10 weeks
Magnum Platinum Haze,indica,0.180,0.001, Fruity, Sweet, Fresh,, Happy, Energetic, Euphoric,, Autoflowering, 9 weeks
Mahayana,hybrid,0.210,0.001, Sweet, Strawberry, Diesel,, Happy, Uplifting, Relaxed, Motivated, Photoperiod, 9-11 weeks
Mako Haze,hybrid,0.120,0.110, Herbal, Woody, Spicy,, Relaxed, Happy, Calming,, Photoperiod, 9-10 weeks
Malakoff,sativa,0.220,0.001, Sweet, Woody, Spicy,, Cerebral, Energetic, Strong, Creative, Photoperiod, 10-12 weeks
Malana Bomb Autoflowering,indica,0.220,0.001, Sweet, Pineapple, Citrus, Fruity, Happy, Body-buzz, Relaxed, Strong, Autoflowering, 9-10 weeks
Malawi,sativa,0.180,0.001, Sweet, Spicy, Cerebral,, Calming, Energetic, Uplifting,, Photoperiod, 9-10 weeks
Malawi Gold,indica,0.190,0.001, Lemon, Citrus, Grapefruit,, Body-buzz, Happy, Relaxed,, Photoperiod, 7-8 weeks
Malibú,indica,0.120,0.030, Skunk, Cheese, Fruity, Sweet, Lazy, Calming, Relaxed,, Autoflowering, 9-11 weeks
Mandalay,indica,0.220,0.030, Grape, Hashish, Earthy, Spicy, Couch-lock, Strong, Euphoric, Relaxed, Photoperiod, 8-9 weeks
Mango Haze,indica,0.120,0.001, Earthy, Lemon, Pine, Kushy, Long-lasting, Relaxed, Body-buzz, Meditative, Photoperiod, 9-11 weeks
Mango Sapphire,hybrid,0.200,0.001, Earthy, Fresh, Pine,, Body-buzz, Energetic, Balanced, Relaxed, Photoperiod, 9 weeks
Mango x Widow,sativa,0.160,0.001, Fresh, Sweet, Fruity, Smooth, Energetic, Uplifting, Creative,, Autoflowering, 9-12 weeks
Maple Leaf Indica,hybrid,0.220,0.001, Citrus, Earthy, Pine,, Motivated, Strong, Happy, Uplifting, Photoperiod, 8-9 weeks
Marionberry Kush,sativa,0.230,0.003, Earthy, Lemon, Citrus, Skunk, Creative, Happy, Euphoric, Uplifting, Photoperiod, 9-10 weeks
Marmalate Early Version,indica,0.060,0.100, Fruity, Flowery, Tangerine, Citrus, Relaxed, Balanced, Body-buzz, Clear-headed, Autoflowering, 10-11 weeks
Maroc,sativa,0.200,0.001, Sweet, Diesel, Citrus, Skunk, Cerebral, Happy, Uplifting, Motivated, Photoperiod, 11 weeks
Martian Kush,sativa,0.220,0.001, Earthy, Lemon,,, Happy, Motivated, Cerebral, Uplifting, Photoperiod, 12 weeks
Martian Mean Green,hybrid,0.120,0.001, Flowery, Mint, Citrus,, Relaxed, Uplifting, Munchies,,,
MassKush,sativa,0.210,0.001, Citrus, Sweet,,, Motivated, Strong, Relaxed, Happy, Photoperiod, 9 weeks
Master Hemp,sativa,0.140,0.030, Fruity, Citrus, Fuel, Earthy, Clear-headed, Sociable, Motivated, Body-buzz, Autoflowering, 8-9 weeks
Master Kush,indica,0.200,0.010, Mango, Berry, Woody, Grapefruit, Earthy, Happy, Relaxed, Calming, Photoperiod, 8-9 weeks
Master Kush Autoflowering,sativa,0.180,0.001, Pungent, Fresh, Skunk,, Energetic, Uplifting, Euphoric, Cerebral, Photoperiod, 8-10 weeks
Mataró Blue,indica,0.070,0.001, Sweet, Spicy, Herbal,, Relaxed, Body-buzz, Happy,, Autoflowering, 10-12 weeks
Mataró Blue CBD,indica,0.120,0.001, Musky, Fruity, Citrus, Lemon, Narcotic, Relaxed, Sleepy, Euphoric, Photoperiod, 8-9 weeks
Maui Wowie,hybrid,0.120,0.001, Pineapple, Lemon, Fruity, Mango, Uplifting, Relaxed, Sociable, Alert, Photoperiod, 8-9 weeks
Maxi GoM,indica,0.220,0.001, Sour, Fruity, Sweet, Skunk, Cerebral, Euphoric, Relaxed,, Photoperiod, 8-9 weeks
Maxi Haze,sativa,0.170,0.001, Spicy, Citrus, Fresh, Sweet, Energetic, Happy, Creative, Uplifting, Autoflowering, 10-12 weeks
Mayday Express,sativa,0.120,0.001, Sweet, Lemon, Fruity, Candy, Cerebral, Energetic, Uplifting, Happy, Photoperiod, 8-9 weeks
Mazar,indica,0.150,0.001, Sweet, Pungent, Earthy, Narcotic, Relaxed, Calming,,, Photoperiod, 9 weeks
Medi Bomb 1,indica,0.120,0.001, Chemical, Earthy, Spicy, Citrus, Relaxed, Euphoric, Calming,, Photoperiod, 8-9 weeks
Medi Bomb 2,sativa,0.120,0.001, Citrus, Fresh,,, Energetic, Uplifting, Creative,, Photoperiod, 8-9 weeks
Medical 49,indica,0.120,0.001, Citrus, Pine, Earthy, Lemon,, Euphoric, Relaxed, Happy, Autoflowering, 9-10 weeks
Medical Kush,indica,0.160,0.030, Grape, Pineapple, Fruity, Sweet, Body-buzz, Cerebral, Relaxed,, Photoperiod, 8-9 weeks
Medical Mass,indica,0.220,0.010, Sweet, Pine, Earthy, Spicy, Sleepy, Relaxed, Happy, Strong, Photoperiod, 8-9 weeks
Medicine Man,hybrid,0.120,0.110, Earthy, Citrus, Candy, Sweet, Relaxed, Body-buzz, Cerebral, Balanced, Autoflowering, 10-12 weeks
Medijuana CBD,sativa,0.150,0.110, Earthy, Pineapple, Citrus, Pine, Energetic, Euphoric, Creative, Cerebral, Photoperiod, 9-10 weeks
Mega Power Plant,indica,0.190,0.030, Pine, Sweet, Earthy,, Relaxed, Couch-lock, Body-buzz, Happy, Photoperiod, 7-8 weeks
Melon Gum,indica,0.120,0.030, Pungent, Pepper, Skunk, Citrus, Relaxed, Body-buzz, Dreamy, Happy, Autoflowering, 10-12 weeks
Membrana Hiper Autoflowering,hybrid,0.120,0.220, Citrus, Sweet, Candy,, Balanced, Creative, Body-buzz, Relaxed, Photoperiod, 8-9 weeks
Mendocino Skunk,sativa,0.170,0.030, Fruity, Blueberry, Lemon,, Uplifting, Energetic, Creative, Relaxed, Photoperiod, 9-10 weeks
Mendocino x Purple Kush,sativa,0.220,0.001, Earthy, Sweet, Pine,, Cerebral, Euphoric, Strong, Happy, Photoperiod, 10 weeks
Mexican Airlines,sativa,0.220,0.001, Fresh, Sweet,,, Cerebral, Energetic, Happy, Creative, Photoperiod, 8-10 weeks
Mexican Haze,indica,0.160,0.010, Tropical, Sweet, Fruity,, Uplifting, Energetic, Happy, Relaxed, Photoperiod, 7-9 weeks
Mexican Sativa,indica,0.220,0.001, Vanilla, Earthy, Blueberry, Woody, Uplifting, Focused, Relaxed, Calming, Photoperiod, 8-9 weeks
MiG-29 Autoflowering,sativa,0.190,0.001, Woody, Berry, Lemon,, Creative, Focused, Uplifting, Alert, Autoflowering, 10-11 weeks
Michka,indica,0.120,0.001, Pungent, Spicy, Musky, Skunk, Smooth, Body-buzz, Long-lasting, Relaxed, Autoflowering, 8-10 weeks
Mickey Kush,hybrid,0.120,0.001, Diesel, Spicy, Lemon, Earthy, Trippy, Calming, Relaxed, Euphoric, Photoperiod, 8-9 weeks
Micron Auto Tao,indica,0.120,0.001, Blueberry, Fruity, Sweet,, Relaxed, Happy, Euphoric, Talkative, Autoflowering, 8-10 weeks
Mikromachine Autoflowering,indica,0.220,0.001, Sour, Earthy, Grapefruit, Citrus, Relaxed, Narcotic, Sedative, Strong, Photoperiod, 8-9 weeks
Milky Way,sativa,0.080,0.080, Spicy, Earthy, Sweet, Skunk, Creative, Uplifting, Mellow, Cerebral, Photoperiod, 10-11 weeks
Missile 33 SuperAuto,indica,0.120,0.001, Fruity, Diesel, Lemon,, Long-lasting, Body-buzz, Relaxed,, Photoperiod, 9 weeks
Mkage,indica,0.120,0.001, Skunk, Earthy, Musky,, Body-buzz, Narcotic, Relaxed,, Autoflowering, 9-10 weeks
Moby Dick,indica,0.220,0.001, Pepper, Spicy, Lemon, Sweet, Relaxed, Calming, Sleepy, Narcotic, Photoperiod, 8-9 weeks
