strain,type,thc,cbd,flavour 1,flavour 2,flavour 3,flavour 4,effect 1,effect 2,effect 3,effect 4,grow_type,growing_time
Apollo 11,indica,0.220,0.001, Sweet, Vanilla,,, Meditative, Body-buzz, Sleepy, Long-lasting, Photoperiod, 8-9 weeks
Apollo Haze,sativa,0.220,0.030, Earthy, Citrus, Pine, Berry, Body-buzz, Relaxed, Cerebral, Euphoric, Autoflowering, 9-11 weeks
AppleJack,hybrid,0.120,0.220, Spicy, Lemon, Woody,, Happy, Euphoric, Cerebral, Relaxed, Photoperiod, 10 weeks
Arjan's Haze 1,hybrid,0.120,0.001, Sweet, Candy,,, Balanced, Body-buzz, Cerebral,, Photoperiod, 8-9 weeks
Arjan's Ultra Haze 1,indica,0.120,0.001, Honey, Skunk, Garlic, Spicy, Happy, Body-buzz, Relaxed, Calming, Photoperiod, 7-8 weeks
Arjan's Ultra Haze 2,sativa,0.120,0.001, Fruity, Strawberry, Tropical,, Energetic, Balanced, Uplifting, Body-buzz, Photoperiod, 9 weeks
Arjan’s Haze 2,indica,0.120,0.001, Sour, Spicy, Sweet,, Sociable, Creative, Talkative, Happy, Photoperiod, 10 weeks
Arjan’s Haze 3,sativa,0.220,0.001, Lemon, Sour,,, Cerebral, Trippy, Uplifting, Energetic, Photoperiod, 7-10 weeks
Arjan’s Strawberry Haze,indica,0.190,0.001, Sour, Spicy, Berry, Sweet, Relaxed, Calming, Trippy, Narcotic, Photoperiod, 9 weeks
Armageddon,sativa,0.220,0.001, Sweet, Fruity, Pungent,, Cerebral, Euphoric, Relaxed,, Photoperiod, 7-9 weeks
Aroma,indica,0.120,0.001, Fresh, Sweet, Fruity,, Relaxed, Body-buzz, Calming,, Photoperiod, 7 weeks
Atomic,indica,0.130,0.120, Sweet, Spicy, Pepper, Lemon, Calming, Relaxed, Happy,, Photoperiod, 9 weeks
Atomical Haze,indica,0.170,0.001, Citrus, Candy, Sweet, Fruity, Sleepy, Happy, Narcotic, Relaxed, Autoflowering, 9-10 weeks
Aurora Indica,indica,0.090,0.220, Pungent, Fruity, Spicy, Herbal, Motivated, Energetic, Euphoric,, Photoperiod, 8 weeks
Auto 1,indica,0.240,0.001, Sour, Strawberry, Skunk, Fruity, Happy, Cerebral, Relaxed, Strong, Photoperiod, 7-8 weeks
Auto Acid,indica,0.140,0.110, Flowery, Sweet, Berry,, Calming, Relaxed, Sleepy,, Autoflowering, 8-9 weeks
Auto Afghan Skunk,indica,0.150,0.001, Sweet, Candy, Fruity,, Focused, Alert, Happy, Body-buzz, Photoperiod, 8 weeks
Auto Afghani,sativa,0.120,0.001, Pungent, Earthy, Sweet,, Relaxed, Sociable, Euphoric, Cerebral, Autoflowering, 10 weeks
Auto Alpujarreña,indica,0.220,0.001, Sweet, Mango, Tropical,, Body-buzz, Couch-lock, Calming, Relaxed, Photoperiod, 7-8 weeks
Auto Anesthesia,hybrid,0.200,0.001, Flowery, Sweet, Pine,, Happy, Sociable, Relaxed, Talkative, Photoperiod, 8-9 weeks
Auto Anubis,sativa,0.220,0.110, Sweet, Spicy, Fuel, Sour, Relaxed, Sociable, Happy, Uplifting, Photoperiod, 10-12 weeks
Auto Bio Diesel Mass,indica,0.120,0.001, Musky, Flowery, Earthy, Spicy, Strong, Relaxed, Happy, Calming, Photoperiod, 7-9 weeks
Auto Blackberry Kush,sativa,0.210,0.001, Sour, Fuel, Woody, Lemon, Euphoric, Creative, Long-lasting, Energetic, Photoperiod, 9-10 weeks
Auto Blue Amnesia,hybrid,0.220,0.001, Citrus, Sweet, Earthy, Pungent, Relaxed, Focused, Motivated,, Photoperiod, 7-9 weeks
Auto Blue Diesel,sativa,0.220,0.001, Sour, Lemon, Earthy,, Energetic, Cerebral, Uplifting,, Photoperiod, 7-8 weeks
Auto Blue Pyramid,indica,0.170,0.001, Peach, Banana, Fruity, Mango, Happy, Body-buzz, Calming, Cerebral, Autoflowering, 10-12 weeks
Auto Blueberry,sativa,0.210,0.030, Fresh, Fruity, Sweet,, Uplifting, Energetic, Motivated, Cerebral, Photoperiod, 14-16 weeks
Auto Blueberry Domina,indica,0.240,0.001, Earthy, Kushy, Pine,, Balanced, Euphoric, Body-buzz, Happy, Photoperiod, 8-9 weeks
Auto Bomb,sativa,0.180,0.030, Fresh, Citrus, Woody, Pine, Cerebral, Creative, Uplifting, Energetic, Photoperiod, 10-12 weeks
Auto Brooklyn Sunrise,sativa,0.120,0.001, Lemon, Pepper, Spicy,, Happy, Cerebral, Uplifting, Euphoric, Photoperiod, 11 weeks
Auto Bubblegum,hybrid,0.120,0.090, Sweet, Fruity, Citrus, Smooth, Euphoric, Relaxed, Body-buzz, Balanced, Photoperiod, 8-9 weeks
Auto CBD Star,indica,0.110,0.005, Fruity, Fresh, Sweet, Smooth, Calming, Relaxed,,, Autoflowering, 9 weeks
Auto Cheese NL,sativa,0.120,0.001, Sweet, Skunk, Musky, Fruity, Uplifting, Energetic, Happy, Creative, Photoperiod, 9-10 weeks
Auto Chemdog,hybrid,0.120,0.001, Sweet, Blueberry, Fruity,, Balanced, Relaxed, Body-buzz, Uplifting, Photoperiod, 8-9 weeks
Auto Cinderella Jack,indica,0.200,0.030, Pine, Citrus, Fruity,, Euphoric, Body-buzz, Happy, Cerebral, Autoflowering, 8-10 weeks
Auto Colorado Cookies,hybrid,0.190,0.030, Citrus, Tropical, Herbal, Sweet, Sociable, Happy, Relaxed,, Autoflowering, 9-10 weeks
Auto Critical Orange Punch,hybrid,0.200,0.001, Fruity, Tropical, Fresh,, Strong, Uplifting, Cerebral,, Autoflowering, 7-8 weeks
Auto Critical Soma,sativa,0.080,0.080, Herbal, Spicy,,, Relaxed, Uplifting, Motivated,, Photoperiod, 9-10 weeks
Auto Daiquiri Lime,indica,0.120,0.001, Spicy, Herbal, Sweet, Lemon, Tingly, Relaxed, Strong, Giggly, Photoperiod, 9-10 weeks
Auto Dark Purple,indica,0.070,0.001, Herbal, Woody, Spicy,, Relaxed, Calming,,, Autoflowering, 8 weeks
Auto Diesel,indica,0.220,0.010, Musky, Earthy, Pungent, Hashish, Sleepy, Body-buzz, Talkative, Relaxed, Photoperiod, 8-9 weeks
Auto Duck,sativa,0.120,0.110, Sweet, Fruity, Fresh, Euphoric, Relaxed, Body-buzz, Energetic, Balanced, Photoperiod, 8-9 weeks
Auto Durban Poison,indica,0.210,0.001, Kushy, Earthy, Hashish, Meditative, Body-buzz, Strong, Relaxed,, Autoflowering, 10 weeks
Auto El Fuego,indica,0.190,0.220, Lemon, Fruity, Citrus, Calming, Relaxed, Happy, Sociable,, Autoflowering, 8-10 weeks
Auto Euforia,sativa,0.220,0.001, Spicy, Earthy, Sweet, Fruity, Euphoric, Uplifting, Happy, Cerebral, Photoperiod, 9-10 weeks
Auto Fresh Candy,indica,0.080,0.100, Earthy, Fruity, Spicy, Coffee, Dreamy, Relaxed, Calming,, Photoperiod, 8-9 weeks
Auto Galaxy,indica,0.070,0.220, Citrus, Spicy, Skunk, Sandalwood, Sociable, Relaxed, Happy, Calming, Photoperiod, 8-9 weeks
Auto Glueberry OG,indica,0.180,0.003, Sweet, Lemon, Tropical, Pine, Calming, Relaxed, Happy, Body-buzz, Photoperiod, 7 weeks
Auto Jack,hybrid,0.120,0.001, Earthy, Berry, Lemon, Happy, Uplifting, Relaxed,,, Photoperiod, 9 weeks
Auto Jack Herer,sativa,0.200,0.001, Fruity, Tropical, Pineapple, Sweet, Cerebral, Giggly, Strong, Trippy, Photoperiod, 8-9 weeks
Auto Kaya 47,indica,0.130,0.030, Spicy, Fruity, Herbal,, Calming, Relaxed,,, Autoflowering, 8-9 weeks
Auto King Kong,hybrid,0.220,0.001, Sweet, Fruity, Spicy,, Happy, Body-buzz, Calming, Cerebral, Photoperiod, 9-10 weeks
Auto Kryptonite,hybrid,0.120,0.001, Citrus, Spicy, Earthy,, Strong, Calming, Relaxed,, Photoperiod, 9-10 weeks
Auto Lavender,sativa,0.180,0.001, Fruity, Fresh, Chocolate,, Motivated, Cerebral, Happy, Uplifting, Photoperiod, 10 weeks
Auto Lennon,sativa,0.120,0.001, Pine, Sweet, Fresh,, Uplifting, Attentive, Sociable, Talkative, Photoperiod, 9-10 weeks
Auto Mako,hybrid,0.210,0.030, Spicy, Pine, Sweet, Pungent, Talkative, Euphoric, Uplifting, Strong, Photoperiod, 8-10 weeks
Auto Mass,indica,0.120,0.001, Herbal, Skunk, Fruity, Sweet, Narcotic, Body-buzz, Relaxed, Euphoric, Photoperiod, 8 weeks
Auto Mazar,indica,0.120,0.002, Spicy, Pepper, Sweet,, Sociable, Relaxed, Calming,, Autoflowering, 9 weeks
Auto Nefertiti,hybrid,0.010,0.100, Sweet, Fruity, Citrus,, Clear-headed, Calming, Relaxed,, Photoperiod, 8-9 weeks
Auto New York City,sativa,0.220,0.001, Woody, Sweet,,, Energetic, Uplifting, Cerebral,, Photoperiod, 8-10 weeks
Auto Night Queen,sativa,0.060,0.070, Spicy, Lemon, Citrus, Fruity, Uplifting, Smooth, Calming, Cerebral, Photoperiod, 10-14 weeks
Auto Northern Lights,sativa,0.080,0.130, Fresh, Lemon, Fruity, Smooth, Relaxed, Sedative, Energetic,, Photoperiod, 9 weeks
Auto OG Kush,indica,0.120,0.001, Caramel, Lemon, Sweet,, Relaxed, Couch-lock, Strong, Happy, Photoperiod, 6-7 weeks
Auto Orange Bud,sativa,0.190,0.001, Spicy, Earthy, Fruity, Sweet, Uplifting, Sociable, Motivated,, Autoflowering, 10-11 weeks
Auto Pounder,hybrid,0.180,0.030, Citrus, Spicy, Sweet,, Relaxed, Calming, Euphoric, Body-buzz, Photoperiod, 7 weeks
Auto Pounder With Cheese,hybrid,0.170,0.001, Flowery, Fresh,,, Energetic, Uplifting, Attentive,, Photoperiod, 9 weeks
Auto Power Plant,sativa,0.220,0.001, Sour, Pine, Citrus, Fruity, Motivated, Cerebral, Energetic, Uplifting, Photoperiod, 10-12 weeks
Auto Purple,indica,0.220,0.001, Sweet, Herbal, Cheese, Caramel, Euphoric, Narcotic, Relaxed, Giggly, Photoperiod, 8-9 weeks
Auto Purple CousKush,hybrid,0.120,0.001, Spicy, Fruity, Sweet, Licorice, Relaxed, Dreamy, Sociable, Happy, Photoperiod, 8-9 weeks
Auto Silver Bullet,hybrid,0.210,0.001, Citrus, Fruity, Flowery,, Body-buzz, Relaxed, Happy, Calming, Photoperiod, 8-9 weeks
Auto Silver Haze,sativa,0.210,0.001, Sour, Pine, Woody, Citrus, Energetic, Uplifting, Focused, Cerebral, Photoperiod, 9-10 weeks
Auto Skunk Mass,indica,0.170,0.002, Skunk, Sweet, Narcotic,, Relaxed, Calming,,, Photoperiod, 8 weeks
Auto Super Hash,sativa,0.210,0.003, Citrus, Mint, Pine, Fresh, Uplifting, Creative, Giggly, Cerebral, Photoperiod, 12-13 weeks
Auto Super OG Kush,sativa,0.120,0.001, Ammonia, Cherry, Creamy, Pungent, Energetic, Cerebral, Creative,, Photoperiod, 10-11 weeks
Auto Tao Blueberry,sativa,0.140,0.010, Herbal, Woody,,, Happy, Uplifting, Relaxed, Motivated, Photoperiod, 13-15 weeks
Auto Tutankhamon,hybrid,0.220,0.001, Candy, Fresh, Fruity,, Strong, Meditative, Relaxed, Calming, Photoperiod, 8-9 weeks
Auto Ultimate,indica,0.220,0.030, Sweet, Earthy, Musky,, Calming, Sociable, Relaxed, Talkative, Photoperiod, 8-9 weeks
Auto Wappa,indica,0.080,0.090, Citrus, Candy, Earthy,, Relaxed, Body-buzz, Cypress, Calming, Photoperiod, 8 weeks
Auto White Widow,hybrid,0.210,0.001, Skunk, Citrus, Lemon,, Cerebral, Trippy, Happy, Energetic, Photoperiod, 8-9 weeks
Auto Whiteberry,indica,0.125,0.020, Herbal, Woody, Sweet, Spicy, Relaxed, Happy, Trippy, Euphoric, Photoperiod, 8-9 weeks
Auto Xtreme,hybrid,0.120,0.001, Chemical, Banana, Sweet, Citrus, Uplifting, Motivated, Cerebral,, Photoperiod, 8-9 weeks
Auto Yumbolt,sativa,0.150,0.110, Citrus, Flowery,,, Uplifting, Energetic,,, Autoflowering, 10-11 weeks
Autoflower Haze,indica,0.120,0.001, Sweet, Pungent, Earthy, Skunk, Uplifting, Creative, Motivated, Euphoric, Photoperiod, 7-9 weeks
Autoflowering White Russian 1,indica,0.200,0.005, Fuel, Berry, Lemon, Spicy, Body-buzz, Relaxed, Happy, Calming, Autoflowering, 10-12 weeks
Automaria II,indica,0.050,0.100, Citrus, Spicy, Skunk,, Sociable, Relaxed, Happy, Calming, Autoflowering, 8 weeks
Automatic,sativa,0.120,0.001, Fruity, Pungent, Citrus,, Uplifting, Energetic, Motivated, Cerebral, Autoflowering, 11-12 weeks
Autopilot XXL,indica,0.150,0.002, Sweet, Skunk, Pungent,, Body-buzz, Relaxed, Cerebral, Happy, Photoperiod, 8 weeks
Ayahuasca Purple,indica,0.140,0.030, Fruity, Pungent, Earthy,, Body-buzz, Relaxed, Calming, Uplifting, Autoflowering, 9 weeks
Azure Haze,indica,0.170,0.001, Sweet, Fruity, Tropical,, Meditative, Relaxed, Solitary, Happy, Photoperiod, 8-9 weeks
BC Early Blueberry,indica,0.150,0.001, Pine, Earthy,,, Sociable, Talkative, Uplifting, Energetic, Photoperiod, 7-9 weeks
BC Golden Skunk,hybrid,0.120,0.001, Citrus, Lemon,,, Energetic, Uplifting, Euphoric,, Photoperiod, 9-11 weeks
BC Purps,hybrid,0.230,0.001, Herbal, Citrus, Spicy, Earthy, Energetic, Strong, Euphoric, Relaxed, Photoperiod, 7-9 weeks
BCN Diesel,hybrid,0.220,0.001, Sweet, Spicy, Pungent, Fruity, Energetic, Euphoric, Cerebral, Trippy, Photoperiod, 8-9 weeks
Baby Boom Auto CBD,indica,0.200,0.008, Herbal, Spicy, Pine,, Sleepy, Relaxed, Munchies, Calming, Photoperiod, 8-9 weeks
Baby Boom Autoflowering,indica,0.220,0.001, Pungent, Earthy, Skunk, Cheese, Relaxed, Long-lasting, Talkative, Balanced, Autoflowering, 11-12 weeks
Bad Azz Kush,sativa,0.220,0.001, Sour, Creamy, Diesel,, Energetic, Uplifting, Euphoric,, Photoperiod, 10 weeks
Badazz Cheese,indica,0.200,0.001, Earthy, Spicy, Hashish, Sage, Relaxed, Happy, Smooth, Calming, Photoperiod, 8-9 weeks
Baikal Express,sativa,0.220,0.010, Earthy, Fruity, Spicy,, Long-lasting, Energetic, Cerebral, Euphoric, Photoperiod, 9-10 weeks
Banana,hybrid,0.120,0.001, Diesel, Pine, Chemical, Earthy, Smooth, Uplifting, Euphoric,, Autoflowering, 11 weeks
Banana Kush,hybrid,0.190,0.001, Sweet, Earthy, Pine,, Clear-headed, Energetic, Euphoric,, Photoperiod, 8-9 weeks
Banana Split,indica,0.180,0.001, Strawberry, Skunk, Orange,, Relaxed, Smooth, Uplifting,, Photoperiod, 7-9 weeks
Bandana,hybrid,0.250,0.001, Fuel, Pungent, Earthy, Sour, Strong, Long-lasting, Narcotic, Body-buzz, Photoperiod, 8-9 weeks
Bangi Haze,indica,0.190,0.001, Earthy, Fruity, Citrus, Pine, Body-buzz, Relaxed, Euphoric, Long-lasting, Photoperiod, 8-9 weeks
Barbara Bud,indica,0.120,0.001, Sour, Spicy, Berry, Sweet, Cerebral, Body-buzz, Couch-lock, Calming, Autoflowering, 7-8 weeks
Bass Line,indica,0.120,0.001, Tropical, Sweet,,, Body-buzz, Calming, Relaxed,, Photoperiod, 9-10 weeks
Belladonna,sativa,0.160,0.001, Fresh, Flowery, Fruity,, Energetic, Uplifting, Euphoric,, Autoflowering, 9-10 weeks
Berry Bomb,hybrid,0.120,0.001, Earthy, Fresh, Flowery,, Dreamy, Calming, Relaxed,, Photoperiod, 8-9 weeks
Berry Bomb Autoflowering,hybrid,0.120,0.001, Citrus, Fruity,,, Motivated, Relaxed,,, Autoflowering, 8-9 weeks
Berry Delight,sativa,0.180,0.030, Fruity, Lemon,,, Uplifting, Energetic, Focused, Euphoric, Photoperiod, 7-8 weeks
Berry Ryder Autoflowering,sativa,0.080,0.090, Fruity, Fresh, Lemon, Citrus, Relaxed, Smooth, Clear-headed, Body-buzz, Autoflowering, 10-11 weeks
Biddy Early,sativa,0.230,0.008, Skunk, Sweet, Spicy,, Creative, Strong, Energetic, Euphoric, Photoperiod, 10 weeks
Big Band,hybrid,0.120,0.001, Citrus, Spicy, Herbal,, Happy, Calming, Sociable, Relaxed, Photoperiod, 9 weeks
Big Bang,indica,0.120,0.001, Woody, Spicy, Sweet, Citrus, Calming, Munchies, Couch-lock, Relaxed, Photoperiod, 7 weeks
Big Bang Autoflowering,sativa,0.190,0.010, Sweet, Fresh, Lemon,, Creative, Body-buzz, Energetic, Cerebral, Autoflowering, 9 weeks
Big Bomb,hybrid,0.190,0.001, Sweet, Woody, Diesel, Fruity, Sociable, Energetic, Happy, Uplifting, Photoperiod, 9-11 weeks
Big Bud,indica,0.120,0.001, Cheese, Fruity, Sweet, Berry, Relaxed, Happy, Euphoric,, Photoperiod, 9-10 weeks
Big Bud XXL,sativa,0.120,0.001, Lavender, Herbal, Woody, Earthy, Cerebral, Happy, Uplifting, Creative, Photoperiod, 11 weeks
Big Bud XXL Autoflowering,sativa,0.190,0.030, Spicy, Citrus, Fresh,, Cerebral, Creative, Uplifting, Euphoric, Autoflowering, 9 weeks
Big Buddha Cheese,sativa,0.120,0.001, Citrus, Fruity, Skunk, Tangerine, Sociable, Motivated, Uplifting,, Photoperiod, 9-10 weeks
